# Power (W),Signal (arb)
4.000000000000000083e-02,9.318543939208240312e-01
5.299999999999999850e-02,9.682559137149160389e-01
6.600000000000000311e-02,1.000000000000000000e+00
3.400000000000000244e-02,8.773133962495399674e-01
2.400000000000000050e-02,8.749846794950359996e-01
1.899999999999999953e-02,8.218531682804269822e-01
1.299999999999999940e-02,7.934795930873880243e-01
7.499999999999999722e-03,7.553008947174899568e-01
2.500000000000000052e-03,6.032602034563060434e-01
1.000000000000000021e-03,5.234710136046080153e-01
0.000000000000000000e+00,2.859419046451769919e-01
0.000000000000000000e+00,3.186665032479470052e-03
