# Power (W),Signal (arb)
2.750000000000000222e-01,9.299381805899570308e-01
2.740000000000000213e-01,1.000000000000000000e+00
1.640000000000000069e-01,9.712330400570110545e-01
9.600000000000000200e-02,9.287206968748099589e-01
5.999999999999999778e-02,8.752968881823119940e-01
3.899999999999999994e-02,8.082982921518779840e-01
2.100000000000000130e-02,7.767668291791469670e-01
2.260000000000000064e-01,9.108792032837800257e-01
6.000000000000000125e-03,6.220193179459839738e-01
0.000000000000000000e+00,3.617576321669399835e-04
0.000000000000000000e+00,4.287473051729290209e-04
1.000000000000000021e-02,8.160248676384550537e-01
2.780000000000000249e-01,9.762311797537920333e-01
