# Power (W),Signal (arb)
3.549999999999999822e-01,1.000000000000000000e+00
3.330000000000000182e-01,1.000000000000000000e+00
2.959999999999999853e-01,1.000000000000000000e+00
2.530000000000000027e-01,9.935155142725849986e-01
2.079999999999999905e-01,9.676407762994789774e-01
1.660000000000000087e-01,8.871183752117639543e-01
1.110000000000000014e-01,8.166897598959460547e-01
3.499999999999999778e-01,1.000000000000000000e+00
2.570000000000000062e-01,1.000000000000000000e+00
1.409999999999999865e-01,8.899783468054780489e-01
8.599999999999999312e-02,7.782634281541339627e-01
3.799999999999999906e-02,6.152391569017829909e-01
0.000000000000000000e+00,1.266633068984969945e-03
2.900000000000000147e-02,5.483289070428329914e-01
3.579999999999999849e-01,1.000000000000000000e+00
