# Irradiance (W/cm²),Signal (arb)
9.195618933999999426e+05,9.671167470000000543e-01
8.827794176999999909e+05,8.847902260000000130e-01
7.950673601999999955e+05,6.993132840000000350e-01
7.215024087000000291e+05,6.023598089999999683e-01
6.309609298999999883e+05,4.925482740000000081e-01
5.658842421000000322e+05,4.356291540000000184e-01
5.092958179000000237e+05,3.887550040000000151e-01
0.000000000000000000e+00,4.526810000000000035e-03
9.110736297999999952e+05,9.539417590000000002e-01
3.112363332000000082e+04,2.399432899999999827e-02
1.924006423000000068e+05,9.985992700000000111e-02
3.395305452999999980e+05,2.238514410000000121e-01
9.280501570999999531e+05,1.000000000000000000e+00
