# Irradiance (W/cm²),Signal (arb),+-
3.870333000000000000e+06,1.000000000000000000e+00,7.199999999999999803e-03
3.176342000000000000e+06,8.388999999999999790e-01,6.599999999999999964e-03
2.669200000000000000e+04,5.160000000000000003e-02,1.699999999999999905e-03
2.048607000000000000e+06,8.373000000000000442e-01,6.799999999999999621e-03
8.875070000000000000e+05,5.886000000000000121e-01,5.700000000000000205e-03
1.654901000000000000e+06,7.732999999999999874e-01,6.599999999999999964e-03
2.609138000000000000e+06,9.368999999999999551e-01,7.300000000000000065e-03
3.603410000000000000e+05,3.276999999999999913e-01,4.400000000000000265e-03
3.630106000000000000e+06,1.100100000000000078e+00,8.099999999999999561e-03
3.276437000000000000e+06,1.152199999999999891e+00,8.500000000000000611e-03
2.722579000000000000e+06,1.031600000000000072e+00,8.200000000000000691e-03
3.036210000000000000e+06,1.020100000000000007e+00,8.200000000000000691e-03
3.850314000000000000e+06,8.918000000000000371e-01,7.799999999999999642e-03
3.850314000000000000e+06,1.117099999999999982e+00,8.999999999999999320e-03
