# Irradiance (W/cm²),+-,Signal (arb),+-
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000327e-05
3.000000000000000000e+04,2.000000000000000000e+03,4.799999999999999822e-01,2.050000000000000173e-03
4.000000000000000000e+04,2.000000000000000000e+03,6.630000000000000338e-01,2.560000000000000209e-03
1.100000000000000000e+05,5.000000000000000000e+03,8.709999999999999964e-01,3.119999999999999944e-03
1.800000000000000000e+05,9.000000000000000000e+03,8.489999999999999769e-01,3.059999999999999786e-03
2.900000000000000000e+05,1.400000000000000000e+04,9.589999999999999636e-01,3.340000000000000087e-03
4.400000000000000000e+05,2.200000000000000000e+04,8.469999999999999751e-01,3.050000000000000194e-03
6.600000000000000000e+05,3.300000000000000000e+04,9.130000000000000338e-01,3.229999999999999798e-03
1.150000000000000000e+06,5.800000000000000000e+04,9.849999999999999867e-01,3.409999999999999837e-03
4.480000000000000000e+06,2.240000000000000000e+05,1.000000000000000000e+00,3.449999999999999942e-03
