# Power (W),Signal (arb)
1.310000000000000053e+00,9.337076781167129580e-01
1.310000000000000053e+00,9.506135396545699612e-01
1.159999999999999920e+00,8.692076499004840473e-01
1.070000000000000062e+00,8.114192302195160078e-01
1.260000000000000009e+00,9.122097665629209651e-01
8.499999999999999778e-01,7.092953769663870034e-01
6.700000000000000400e-01,5.902116955038070323e-01
1.350000000000000089e+00,9.372400461574249553e-01
4.879999999999999893e-01,4.572021769174239858e-01
1.340000000000000080e-01,1.695562215415420126e-01
6.500000000000000222e-02,1.007846693434009955e-01
1.360000000000000098e+00,9.568852354408019512e-01
1.219999999999999973e+00,8.927057968676519462e-01
1.350000000000000089e+00,9.571910153989220404e-01
1.540000000000000036e+00,9.939931461316809935e-01
1.540000000000000036e+00,1.000000000000000000e+00
