# Power (W),Signal (arb)
4.900000000000000189e-02,9.660751021190620014e-01
4.200000000000000261e-02,9.455831780322380142e-01
3.300000000000000155e-02,9.160777858128910101e-01
3.899999999999999994e-02,9.483246899230729499e-01
2.900000000000000147e-02,9.325709058312220412e-01
2.000000000000000042e-02,8.881771288727150493e-01
4.900000000000000189e-02,1.000000000000000000e+00
1.499999999999999944e-02,9.048458539294760294e-01
8.999999999999999320e-03,8.068695352447440294e-01
4.000000000000000083e-03,6.323884764086949994e-01
1.000000000000000021e-03,2.754181991977450172e-01
4.700000000000000011e-02,1.000000000000000000e+00
