# Irradiance (W/cm²),Signal (arb)
2.009000000000000000e+06,7.700000000000000178e-01
2.511000000000000000e+05,6.400000000000000133e-01
1.507000000000000000e+05,5.999999999999999778e-01
3.667000000000000000e+05,6.500000000000000222e-01
5.023000000000000000e+05,6.999999999999999556e-01
7.534000000000000000e+05,7.500000000000000000e-01
2.009000000000000000e+05,6.400000000000000133e-01
2.009000000000000000e+05,6.700000000000000400e-01
8.538000000000000000e+04,6.099999999999999867e-01
8.538000000000000000e+04,5.500000000000000444e-01
8.538000000000000000e+04,5.400000000000000355e-01
8.538000000000000000e+04,4.600000000000000200e-01
8.538000000000000000e+04,4.799999999999999822e-01
