# Power (W),Signal (arb)
2.819999999999999729e-01,1.000000000000000000e+00
2.449999999999999956e-01,9.767135556609239933e-01
1.819999999999999951e-01,9.159159159159160346e-01
1.459999999999999909e-01,8.768241926136659536e-01
9.800000000000000377e-02,7.861545756282599662e-01
0.000000000000000000e+00,4.004004004003999632e-03
2.699999999999999969e-02,4.597755650387230220e-01
7.000000000000000146e-03,1.253885464411779935e-02
1.600000000000000033e-02,2.755913808545389920e-01
1.950000000000000067e-01,9.107001738580690064e-01
2.800000000000000266e-01,9.498972656867390452e-01
