# Irradiance (W/cm²),Signal (arb)
2.777977188999999998e+04,7.298718309999999709e-01
4.629961981000000378e+03,6.693129700000000071e-02
5.092958178999999654e+04,8.545437500000000464e-01
6.944942970999999670e+04,8.749217670000000169e-01
0.000000000000000000e+00,7.565129999999999988e-04
1.851984792000000016e+04,6.529073420000000016e-01
9.722920160000000033e+04,9.032419219999999749e-01
1.435288213999999862e+05,9.356806869999999554e-01
1.851984792000000016e+05,9.523401940000000288e-01
2.176082130999999936e+05,1.000000000000000000e+00
2.639078328999999794e+05,9.960098040000000541e-01
